date,value
2015-08-29,122
2015-08-30,94
2015-08-31,125
2015-09-01,123
2015-09-02,134
2015-09-03,136
2015-09-04,121
2015-09-05,140
2015-09-06,145
2015-09-07,133
2015-09-08,124
2015-09-09,154
2015-09-10,144
2015-09-11,146
2015-09-12,156
2015-09-13,105
2015-09-14,128
2015-09-15,155
2015-09-16,134
2015-09-17,135
2015-09-18,160
2015-09-19,136
2015-09-20,105
2015-09-21,127
2015-09-22,127
2015-09-23,129
2015-09-26,137
2015-09-27,138
2015-09-28,119
2015-09-29,160
2015-09-30,129
2015-10-01,145
2015-10-02,122
2015-10-03,142
2015-10-04,142
2015-10-05,140
2015-10-06,116
2015-10-07,144
2015-10-08,124
2015-10-09,146
2015-10-10,140
2015-10-11,122
2015-10-12,118
2015-10-13,141
2015-10-14,131
2015-10-15,258
2015-10-16,148
2015-10-17,133
2015-10-18,100
2015-10-20,152
2015-10-21,147
2015-10-22,143
2015-10-23,154
2015-10-24,156
2015-10-25,110
2015-10-27,118
2015-10-28,103
2015-10-29,127
2015-10-30,164
2015-10-31,159
2015-11-01,114
2015-11-02,152
2015-11-03,132
2015-11-04,150
2015-11-05,141
2015-11-06,152
2015-11-07,124
2015-11-08,134
2015-11-09,165
2015-11-10,114
2015-11-11,116
2015-11-12,161
2015-11-13,139
2015-11-14,140
2015-11-15,113
2015-11-16,135
2015-11-17,113
2015-11-18,121
2015-11-19,161
2015-11-20,147
2015-11-21,129
2015-11-22,82
2015-11-23,142
2015-11-24,129
2015-11-25,141
2015-11-26,261
2015-11-27,259
2015-11-28,116
2015-11-29,111
2015-11-30,132
2015-12-01,118
2015-12-02,127
2015-12-03,115
2015-12-04,116
2015-12-05,140
2015-12-06,129
2015-12-07,128
2015-12-08,143
2015-12-09,155
2015-12-11,147
2015-12-12,125
2015-12-13,126
2015-12-14,131
2015-12-15,142
2015-12-16,133
2015-12-17,110
2015-12-18,174
2015-12-19,138
2015-12-20,122
2015-12-21,128
2015-12-22,111
2015-12-23,130
2015-12-24,129
2015-12-26,95
2015-12-27,87
2015-12-28,102
2015-12-29,77
2015-12-30,73
2015-12-31,171
